structure_id;structure_nr;structure_name;structure_cs;structure_inspection_date;structure_construction_year;element_id;element_nr;element_name;element_type_nr;element_type_name;element_bauart_nr;element_bauart_name;element_cs;element_inspection_date;element_extent;element_extent_unit;element_construction_year;element_cost_relevant;structure_of_element_relevant;element_cs_approx;element_typ_general_nr;element_dmg_process;element_dmg_process_scenario;element_expected_lifetime;element_repair_amounts;element_iv_strategy;element_det_speed_increase;element_has_no_error;element_is_used
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;92dcb834-1cf7-4ede-84a5-2bf3a4a4e80b;AP_SM_SU;Appui côté St-Maurice Sullens;3911;Verformungslager;1202;Elastomerlager;2;01.06.2019;1;Stk;1964;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;67a2ea62-0801-8944-9312-293deb65bf5e;PI_2;Pile axe 2;3221;Einzelpfeiler;1123;Stahlbetonkonstruktion;2;02.06.2019;305;m²;0;TRUE;TRUE;2;9;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;e430b8d4-13c3-7d45-8abb-ddbf4d79974a;AME_CR;Ame côté Crissier;3814;Steg;1123;Stahlbetonkonstruktion;2;03.06.2019;870;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;a5ae5446-a2d3-48e6-a72a-11fea6845d61;AP_SM_CR;Appui côté St-Maurice Crissier;3911;Verformungslager;1202;Elastomerlager;2;04.06.2019;1;Stk;1964;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;8b9db0c2-1769-fb42-a57e-977f5accb32e;T_C_SU;Tablier caisson côté Sullens;373;Fahrbahnplatte;1125;Spannbetonkonstruktion;2;05.06.2019;641;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;f49f0c62-71e7-f342-a05f-2f4fb0abdd43;CS_CR;Console côté Crissier;374;Kragplatte;1123;Stahlbetonkonstruktion;2;06.06.2019;422;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;b56ec515-5f7b-ce46-8963-8b781f5414f7;JC_SM;Joint côté St-Maurice;406;Fahrbahnübergang mit Fingerverschluss;\;andere Bauart;2;07.06.2019;13;m;0;TRUE;TRUE;2;19;60;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;220cdaf0-8f3d-4d28-b486-0ff816815934;T_C_CR;Tablier caisson côté Crissier;373;Fahrbahnplatte;1125;Spannbetonkonstruktion;2;08.06.2019;641;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;88dc7cd8-5216-f244-af2c-5a924aae2063;BO_CR;Bordure côté Crissier;3813;Randborde;1121;Betonkonstruktion;2;09.06.2019;220;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;29dcc961-cd0f-904f-9d81-653c27ac67af;EN_2;Entretoise axe 2;3816;Querträger;1123;Stahlbetonkonstruktion;2;10.06.2019;46;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;fb963d43-4185-3c4b-9498-3867b6375efb;EN_3;Entretoise axe 3;3816;Querträger;1123;Stahlbetonkonstruktion;2;11.06.2019;19;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;04f27cde-295c-ee4c-b892-50413a15b081;PA_SU;Parapet côté Sullens;660;Leitmauer;1121;Betonkonstruktion;2;12.06.2019;188;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;0bff52a3-0a00-c545-8b10-5305cbfff024;ET;Etanchéité;5403;Fahrbahnabdichtung;\;andere Bauart;2;13.06.2019;2286;m²;0;TRUE;TRUE;2;23;90;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;23c02e81-1155-a64e-9297-2d244f445171;D_C;Dalle caisson;3815;Untere Platte;1125;Spannbetonkonstruktion;2;14.06.2019;2750;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;8bd146fa-eb21-5f43-b6e7-944309980c24;CS_SU;Console côté Sullens;374;Kragplatte;1123;Stahlbetonkonstruktion;2;15.06.2019;422;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;241b4187-cc35-6c41-9459-51704b471cb0;EN_CE;Entretoise centrale;3816;Querträger;1123;Stahlbetonkonstruktion;2;16.06.2019;19;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;719b6405-c558-44b5-ad34-51b96d9a64dc;AP_VI_CR;Appui côté Villars Crissier;3911;Verformungslager;1202;Elastomerlager;2;17.06.2019;1;Stk;1964;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;c363b950-2585-564c-badc-ce00b999014f;AME_SU;Ame côté Sullens;3814;Steg;1123;Stahlbetonkonstruktion;2;18.06.2019;870;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;123a3d91-be94-a744-afb6-fad6aa140f0f;BO_SU;Bordure côté Sullens;3813;Randborde;1121;Betonkonstruktion;2;19.06.2019;220;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;9bb73f6b-a08c-aa4f-b994-b8420cdd0fb4;T_C_CR;Tablier caisson côté Crissier;373;Fahrbahnplatte;1125;Spannbetonkonstruktion;2;20.06.2019;641;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;97c024c5-73b3-4f5d-a89f-695138408226;LO_CU_SM;Longrine St-Maurice;3811;Verankerte Mauer;1123;Stahlbetonkonstruktion;2;21.06.2019;1;m²;0;TRUE;TRUE;2;7;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;39b4476b-661f-954d-ac0b-4a86281bd960;AME_CR;Ame côté Crissier;3814;Steg;1123;Stahlbetonkonstruktion;2;22.06.2019;870;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;64722b41-1589-1e49-b7a1-011bdd150aff;CU_VI;Culée côté Villars-Ste-Croix;3101;Widerlager mit Kontrollgang;1123;Stahlbetonkonstruktion;2;23.06.2019;126;m²;0;TRUE;TRUE;2;5;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;c0f6fed6-cb44-6c4c-aff6-40d6bceadfb8;JC_SM;Joint côté St-Maurice;401;Verformbare Fuge;221;Asphaltmischgut;2;24.06.2019;13;m;0;TRUE;TRUE;2;19;60;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;cb9b6b89-bcfb-b447-8527-1b353fa270a3;PI_1;Pile axe 1;3221;Einzelpfeiler;1123;Stahlbetonkonstruktion;2;25.06.2019;220;m²;0;TRUE;TRUE;2;9;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;1a30623c-c3d5-7044-aee9-91d8ab7fdfd8;AME_CE;Ame centrale;3814;Steg;1123;Stahlbetonkonstruktion;2;26.06.2019;795;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;b2c4aba3-de85-f64e-a1ce-13fde24a4e3e;D_C;Dalle caisson;3815;Untere Platte;1125;Spannbetonkonstruktion;2;27.06.2019;2750;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;4b18da91-16b0-3f44-a5c3-62b661fa98e9;EN_2;Entretoise axe 2;3816;Querträger;1123;Stahlbetonkonstruktion;2;28.06.2019;46;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;baf347bb-ccad-f64c-990f-5f4affa20bb5;PA_SU;Parapet côté Sullens;660;Leitmauer;1121;Betonkonstruktion;2;29.06.2019;552;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;807bfdaa-4090-e24a-8dd1-e895a1e066db;EN_3;Entretoise axe 3;3816;Querträger;1123;Stahlbetonkonstruktion;2;30.06.2019;19;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;f3e30ac8-ef52-4342-99d7-256582acae1a;AP_SM_SU;Appui côté St-Maurice Sullens;3911;Verformungslager;1201;Stahllager;2;01.07.2019;1;Stk;1973;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;fcb1c916-3a47-49e1-8dfc-06d7658055c0;RV;Revêtement;631;Deckschicht;221;Asphaltmischgut;2;02.07.2019;2160;m²;0;TRUE;TRUE;2;24;80;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;ff877810-723a-43c4-87cf-a23cad3d1f1a;AP_VI_SU;Appui côté Villars Sullens;3911;Verformungslager;1201;Stahllager;2;03.07.2019;1;Stk;1973;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;745a1943-42ba-45e2-b6e1-b1b272a10264;AP_SM_CR;Appui côté St-Maurice Crissier;3911;Verformungslager;1202;Elastomerlager;3;04.07.2019;1;Stk;1973;TRUE;TRUE;3;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;8ebb0549-c2df-d845-8d34-12fde9026640;EN_1;Entretoise axe 1;3816;Querträger;1123;Stahlbetonkonstruktion;2;05.07.2019;46;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;a83615cf-4c38-b642-81ad-dd7db3123828;BO_SU;Bordures côté Sullens;3813;Randborde;1121;Betonkonstruktion;2;06.07.2019;220;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;79c324a7-0d79-cc48-a14a-679b4eede9b0;PA_CR;Parapet côté Crissier;660;Leitmauer;1121;Betonkonstruktion;2;07.07.2019;552;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;d98dd7f5-918b-574f-99f8-807b05550f7b;AME_SU;Ame côté Sullens;3814;Steg;1123;Stahlbetonkonstruktion;2;08.07.2019;870;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;b0b3105c-1501-a44f-9f79-25e80e539e01;CS_CR;Console côté Crissier;374;Kragplatte;1123;Stahlbetonkonstruktion;2;09.07.2019;422.4;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;87c26012-317f-4c80-b3cc-c4651d47c3f6;AP_VI_CR;Appui côté Villars Crissier;3911;Verformungslager;1202;Elastomerlager;2;10.07.2019;1;Stk;0;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;b3775352-c530-3349-aae5-3a3c3d7e5bf2;EN_CE;Entretoise centrale;3816;Querträger;1123;Stahlbetonkonstruktion;2;11.07.2019;19;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;28cb1227-f6c2-cb40-bffa-f2eaec87d342;PI_2;Pile axe 2;3221;Einzelpfeiler;1123;Stahlbetonkonstruktion;2;12.07.2019;305;m²;0;TRUE;TRUE;2;9;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;f00a4844-98fc-49aa-9ba6-7a8482172528;AP_SM_CR;Appui côté St-Maurice Crissier;3911;Verformungslager;1201;Stahllager;2;13.07.2019;1;Stk;1973;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;f09924cc-fc61-9749-bb5e-3452612c8af6;T_C_SU;Tablier caisson côté Sullens;373;Fahrbahnplatte;1125;Spannbetonkonstruktion;2;14.07.2019;641;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;ff23a387-99e4-ed4e-bb00-eb8f53dcb1bf;ET;Etanchéité;5403;Fahrbahnabdichtung;21;Abdichtungsart;2;15.07.2019;2160;m²;0;TRUE;TRUE;2;23;90;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;7e8eea98-1114-ed4d-a1f4-440af0b9295a;JC_VI;Joint côté Villars-Ste-Croix;406;Fahrbahnübergang mit Fingerverschluss;1141;Stahlkonstruktion;2;16.07.2019;13;m;0;TRUE;TRUE;2;19;60;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;e53a0596-44d0-416f-9fb4-a2eb69dab93c;AP_SM_SU;Appui côté St-Maurice Sullens;3911;Verformungslager;1202;Elastomerlager;3;17.07.2019;1;Stk;0;TRUE;TRUE;3;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;0bb632b7-295c-e341-a0db-eff889cd2360;BO_CR;Bordure côté Crissier;3813;Randborde;1121;Betonkonstruktion;2;18.07.2019;220;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;3dec65d6-a5f5-43fc-be5d-961bd4783d45;AP_VI_CR;Appui côté Villars Crissier;3911;Verformungslager;1201;Stahllager;2;19.07.2019;1;Stk;1973;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;8cbecb05-84a5-4f25-9d31-6ba64b460012;CS_SU;Console côté Sullens;374;Kragplatte;1123;Stahlbetonkonstruktion;2;20.07.2019;422.4;m²;0;TRUE;TRUE;2;14;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;7a38bc57-3cce-40e6-8ab8-f2879b05bf65;AP_VI_SU;Appui côté Villars Sullens;3911;Verformungslager;1202;Elastomerlager;2;21.07.2019;1;Stk;0;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;3db8b207-b6f8-884e-8fc8-0e78af8ec64d;CU_SM;Culée côté St-Maurice;3101;Widerlager mit Kontrollgang;1123;Stahlbetonkonstruktion;2;22.07.2019;37;m²;0;TRUE;TRUE;2;5;10;neutral;80;4;3;0.05;TRUE;TRUE
4f5267a3-ad22-6c4b-a8d1-f5f97933bf80;09P006-D;Pont sur La Sorge - Droite;2;43601;1973;aa272a18-b7ce-084d-9032-c2b077c3603b;EN_0;Entretoise axe 0;3816;Querträger;1123;Stahlbetonkonstruktion;2;23.07.2019;19;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;82677192-9da4-4925-998f-f18e709316d0;PI138;Pile 138;322;Pfeiler;1123;Stahlbetonkonstruktion;2;43663;48.92;m²;1970;TRUE;TRUE;2;9;10;neutral;80;4;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;857771ba-b56d-4ae4-8bff-cbd55ae1cbae;PI120;Pile 120;322;Pfeiler;1123;Stahlbetonkonstruktion;2;43657;121.92;m²;1970;TRUE;TRUE;2;9;10;neutral;80;4;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;f6729591-cdec-4fec-8dcb-ef6509b9730f;BOGA-G;Bordure gauche pont G;3813;Randborde;1123;Stahlbetonkonstruktion;0;45364;1657.06;m²;1970;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;c93f5263-139f-4d03-87ab-13055581aa48;MCULS-G;Mur de culée Lausanne pont G;3805;Widerlagermauer;1123;Stahlbetonkonstruktion;2;43650;23.58;m²;1970;TRUE;TRUE;2;5;10;neutral;80;4;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;7b2d64d0-94d2-4898-ad46-72c39ea7ae3d;MALSL-G;Mur d'aile culée Lausanne côté Lac pont G;3806;Flügelmauer;1123;Stahlbetonkonstruktion;2;43650;15;m²;1970;TRUE;TRUE;2;7;10;neutral;80;4;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;86d05ec7-5c4a-4e0c-af8e-8630dc15040c;MALSA-G;Mur d'aile culée Lausanne côté Alpes pont G;3806;Flügelmauer;1123;Stahlbetonkonstruktion;2;43650;15;m²;1970;TRUE;TRUE;2;7;10;neutral;80;4;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;ac04adbe-a4f2-4000-8f6c-2dffc893cb5a;JCCUSM-G;Joint de chaussée culée St-Maurice pont G;406;Fahrbahnübergang mit Fingerverschluss;1141;Stahlkonstruktion;0;45364;12.7;m;1970;TRUE;TRUE;2;19;60;neutral;20;2;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;2eb4fd73-d24d-674f-b058-8292ad8b4a1f;JCPI113;Joint de chaussée pile 113;406;Fahrbahnübergang mit Fingerverschluss;1141;Stahlkonstruktion;0;45364;12.7;m;1970;TRUE;TRUE;2;19;60;neutral;20;2;3;0.05;TRUE;TRUE
c0949e55-e119-1044-b186-e9f1225aaf36;09V098-G;Viaduc de la Plaine du Rhône - Gauche;2;43706;1970;dcf000ef-904c-496a-851f-9eb267a55537;APPI128BDR;Appui pile 128B droite;3913;Linienkipplager;1201;Stahllager;3;43663;1;Stk;1970;TRUE;TRUE;3;18;70;neutral;20;2;3;0.05;TRUE;TRUE
